Id,LotArea,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,SalePrice
1,8450,196,706,0,150,856,856,854,0,1710,1,0,2,1,3,548,0,61,0,0,0,0,208500
2,9600,0,978,0,284,1262,1262,0,0,1262,0,1,2,0,3,460,298,0,0,0,0,0,181500
3,11250,162,486,0,434,920,920,866,0,1786,1,0,2,1,3,608,0,42,0,0,0,0,223500
4,9550,0,216,0,540,756,961,756,0,1717,1,0,1,0,3,642,0,35,272,0,0,0,140000
5,14260,350,655,0,490,1145,1145,1053,0,2198,1,0,2,1,4,836,192,84,0,0,0,0,250000
6,14115,0,732,0,64,796,796,566,0,1362,1,0,1,1,1,480,40,30,0,320,0,0,143000
7,10084,186,1369,0,317,1686,1694,0,0,1694,1,0,2,0,3,636,255,57,0,0,0,0,307000
8,10382,240,859,32,216,1107,1107,983,0,2090,1,0,2,1,3,484,235,204,228,0,0,0,200000
9,6120,0,0,0,952,952,1022,752,0,1774,0,0,2,0,2,468,90,0,205,0,0,0,129900
10,7420,0,851,0,140,991,1077,0,0,1077,1,0,1,0,2,205,0,4,0,0,0,0,118000
11,11200,0,906,0,134,1040,1040,0,0,1040,1,0,1,0,3,384,0,0,0,0,0,0,129500
12,11924,286,998,0,177,1175,1182,1142,0,2324,1,0,3,0,4,736,147,21,0,0,0,0,345000
13,12968,0,737,0,175,912,912,0,0,912,1,0,1,0,2,352,140,0,0,0,176,0,144000
14,10652,306,0,0,1494,1494,1494,0,0,1494,0,0,2,0,3,840,160,33,0,0,0,0,279500
15,10920,212,733,0,520,1253,1253,0,0,1253,1,0,1,1,2,352,0,213,176,0,0,0,157000
16,6120,0,0,0,832,832,854,0,0,854,0,0,1,0,2,576,48,112,0,0,0,0,132000
17,11241,180,578,0,426,1004,1004,0,0,1004,1,0,1,0,2,480,0,0,0,0,0,0,149000
18,10791,0,0,0,0,0,1296,0,0,1296,0,0,2,0,2,516,0,0,0,0,0,0,90000
19,13695,0,646,0,468,1114,1114,0,0,1114,1,0,1,1,3,576,0,102,0,0,0,0,159000
20,7560,0,504,0,525,1029,1339,0,0,1339,0,0,1,0,3,294,0,0,0,0,0,0,139000
21,14215,380,0,0,1158,1158,1158,1218,0,2376,0,0,3,1,4,853,240,154,0,0,0,0,325300
